vehicle_age,odometer_km,engine_hours,load_factor,avg_speed_kmh,idle_time_pct,tire_pressure_ok,ac_usage,maintenance_score,fuel_efficiency_kml
5.6,139559,2735,0.6,63.8,8.2,1,1,57.9,6.09
14.3,382699,6652,0.8,31.1,7.1,1,0,45.7,2.91
11.0,399270,4261,0.65,40.8,26.1,1,1,47.6,4.93
9.0,211028,5421,0.27,59.8,38.8,1,0,50.8,5.36
2.3,85985,1260,0.35,48.9,22.6,1,1,52.2,8.27
2.3,40254,1715,0.38,64.3,6.8,1,0,54.5,7.33
0.9,29989,275,0.41,77.7,12.7,1,1,55.3,7.03
13.0,470187,8081,0.65,27.0,13.6,1,1,67.3,2.78
9.0,176236,6145,0.6,62.6,16.8,1,1,70.6,5.15
10.6,273585,7220,0.36,33.8,6.5,1,1,58.5,5.51
0.3,5909,229,0.25,44.9,36.7,1,1,94.4,8.29
14.5,475233,9668,0.34,22.0,23.0,1,0,73.2,2.69
12.5,354417,9539,0.99,28.2,28.5,1,1,87.2,2.0
3.2,98365,1485,0.57,39.2,7.4,1,1,95.5,6.37
2.7,54308,1504,0.89,40.5,6.9,1,0,49.8,7.47
2.8,55829,845,0.88,74.0,25.5,1,1,65.7,4.63
4.6,73189,1385,0.61,64.5,36.1,0,0,66.0,4.37
7.9,181448,3306,0.77,78.3,23.5,0,0,61.3,3.63
6.5,187855,2270,0.35,55.9,35.7,1,1,40.5,6.44
4.4,159222,1879,0.75,34.5,33.4,1,1,89.0,4.72
9.2,290690,3566,0.42,39.7,7.7,1,1,46.7,4.96
2.1,54162,658,0.87,39.2,12.1,1,1,99.7,6.04
4.4,170151,3307,0.27,39.6,28.0,1,0,86.4,6.38
5.5,181245,1671,0.82,60.4,20.5,1,1,74.8,4.17
6.8,261698,4570,0.28,51.8,15.2,1,0,49.3,7.29
11.8,332008,4429,0.9,43.1,19.7,1,1,70.9,3.94
3.0,64313,2265,0.44,28.9,20.6,1,0,55.7,6.61
7.7,125890,5757,0.72,21.3,36.9,1,0,55.1,3.45
8.9,294597,5571,0.59,33.1,8.6,1,1,89.8,5.75
0.7,12564,443,0.49,26.4,14.8,0,1,62.8,7.3
9.1,205679,2758,0.72,67.1,23.8,1,1,67.0,3.98
2.6,72418,2027,0.96,26.7,29.4,0,0,90.6,5.5
1.0,28405,721,0.23,63.5,27.1,1,1,45.3,6.71
14.2,427206,10640,0.94,43.1,38.0,1,1,75.7,2.24
14.5,277470,9120,0.69,24.4,32.8,1,1,74.7,2.78
12.1,297006,5728,0.85,68.8,24.5,1,0,65.5,3.41
4.6,139040,3412,0.51,54.8,12.5,1,0,89.8,8.5
1.5,57498,653,0.58,34.1,20.8,0,1,96.6,6.35
10.3,340653,5967,0.9,73.7,29.3,0,0,67.9,2.68
6.6,251317,2310,0.53,22.7,34.3,0,1,67.4,3.76
1.8,62341,1393,0.63,32.1,38.6,1,1,70.1,5.11
7.4,221292,2751,0.22,65.1,26.2,0,1,83.4,4.63
0.5,10214,213,0.33,62.6,23.4,1,1,80.1,6.99
13.6,431934,7898,0.71,37.4,5.6,1,1,53.4,2.53
3.9,118720,2647,0.77,23.7,7.5,1,0,43.8,5.28
9.9,298748,6059,0.67,71.5,10.5,1,0,97.0,4.97
4.7,127387,1945,0.31,38.8,6.9,0,1,55.7,5.77
7.8,220117,2344,0.56,31.7,19.0,1,0,78.3,4.77
8.2,191576,5565,0.48,51.0,16.8,1,0,89.7,7.47
2.8,77591,2198,0.6,74.6,27.3,1,0,58.0,5.4
14.5,289987,10253,0.9,22.6,23.7,1,1,78.1,2.47
11.6,408449,6164,0.82,65.9,25.9,1,1,46.5,2.0
14.1,276839,10596,0.27,54.3,21.5,1,1,98.2,6.23
13.4,229847,6777,0.91,45.5,14.7,1,0,43.5,5.12
9.0,232339,5044,0.58,64.6,38.3,0,0,66.3,4.0
13.8,435000,7447,0.8,77.9,8.0,1,0,72.2,3.76
1.3,34436,695,0.31,33.8,37.9,1,0,87.4,6.53
2.9,64436,2021,0.74,28.6,15.9,0,0,47.3,5.45
0.7,19643,382,0.39,74.8,22.9,1,1,66.4,6.31
4.9,115533,2237,0.55,60.1,8.8,1,1,58.0,5.71
5.8,223422,2502,0.21,46.3,7.5,1,0,58.7,7.75
4.1,154938,1298,0.32,54.4,20.0,0,1,86.7,8.01
12.4,342591,7354,0.27,64.7,31.0,1,1,40.3,3.67
5.4,124135,2221,0.39,66.4,14.4,0,1,84.9,6.01
4.2,140867,1576,0.28,75.2,24.7,1,0,88.6,7.55
8.1,129578,5103,0.75,45.6,14.8,0,1,94.1,6.56
2.1,56798,1354,0.22,37.6,18.6,0,1,77.6,6.95
12.0,281668,8135,0.69,58.4,36.7,1,0,60.0,4.5
1.1,42509,617,0.31,44.9,35.0,1,1,65.6,6.96
14.8,226492,11058,0.96,55.7,23.1,1,1,98.2,4.17
11.6,333846,8898,0.95,45.2,13.3,0,1,92.9,4.76
3.0,99904,2098,0.38,29.2,11.8,0,1,67.8,6.25
0.1,2247,51,0.69,48.2,38.4,1,1,96.6,7.66
12.2,209595,5527,0.22,61.5,12.1,1,1,89.4,5.43
10.6,416815,8392,0.95,68.0,33.3,1,1,94.1,2.65
10.9,305639,4779,0.62,49.6,17.9,1,0,81.0,6.06
11.6,351175,4643,0.23,29.9,39.5,1,0,91.5,4.44
1.1,23230,579,0.47,44.9,17.9,1,0,93.5,8.96
5.4,145649,1766,0.26,67.2,17.3,1,1,45.5,5.05
1.7,44717,1372,0.51,44.8,27.3,1,0,97.9,7.18
12.9,218439,7693,0.74,61.8,38.7,1,1,60.0,2.0
9.3,165056,5408,0.58,50.4,39.2,1,0,66.4,5.17
5.0,178371,3117,0.51,34.5,29.8,1,1,87.5,4.73
1.0,20017,523,0.3,67.8,31.4,1,1,79.9,6.66
4.7,92707,1474,0.4,25.1,24.7,1,0,93.6,7.11
4.9,134737,2957,0.28,51.5,31.5,0,1,64.0,6.93
10.9,374492,7202,0.85,32.5,35.1,1,1,62.4,2.45
9.6,158261,4862,0.31,24.0,22.0,1,0,41.9,5.45
13.3,391530,9032,0.68,50.2,26.7,1,1,67.8,3.8
7.1,127358,2929,0.47,50.0,23.8,1,1,83.4,6.72
1.8,28544,737,0.38,62.4,24.7,1,1,58.1,6.53
10.7,174587,4073,0.71,64.7,36.2,1,0,67.8,3.3
11.4,409159,5546,0.57,63.7,17.4,1,1,53.2,3.23
8.4,151118,6091,0.52,44.6,12.3,1,1,86.4,8.13
11.6,186521,8257,0.67,57.9,21.0,1,1,43.6,4.99
7.4,192191,3640,0.59,54.6,12.3,1,1,82.3,7.84
7.8,283059,4662,0.44,45.3,22.4,1,1,62.7,5.19
6.4,138268,4235,0.65,55.8,36.6,0,0,42.5,4.71
